Date,XIU,XBB,COW,XRE
2011-01-04,19.602041,29.74,24.812361,13.59952
2011-01-05,19.62245,29.64,25.154526,13.51946
2011-01-06,19.520409,29.6,25.286976,13.54948
2011-01-07,19.44898,29.68,25.198675,13.52947
2011-01-10,19.387754,29.74,25.1766,13.52947
2011-01-11,19.642857,29.68,25.353201,13.58951
2011-01-12,19.744898,29.65,25.728476,13.61953
2011-01-13,19.642857,29.59,25.949228,13.72961
2011-01-14,19.734694,29.54,26.004414,13.89973
2011-01-17,19.744898,29.58,26.236204,13.97979
2011-01-18,19.918367,29.51,26.346579,13.91974
2011-01-19,19.714285,29.58,25.67329,13.8597
2011-01-20,19.571428,29.54,25.331127,13.72961
2011-01-21,19.602041,29.43,25.331127,13.61953
2011-01-24,19.632652,29.54,25.551876,13.84969
2011-01-25,19.530613,29.64,25.496689,13.93976
2011-01-26,19.785715,29.44,25.93819,13.97979
2011-01-27,19.744898,29.55,25.794703,14.01981
2011-01-28,19.775511,29.62,25.573952,13.95977
2011-01-31,19.979591,29.58,25.827814,13.97979
2011-02-01,20.17347,29.53,26.269316,13.84969
2011-02-02,20.12245,29.48,26.169977,13.95977
2011-02-03,20.357143,29.45,26.192053,13.96978
2011-02-04,20.306122,29.39,26.136866,13.93976
2011-02-07,20.295918,29.38,26.335541,13.93976
2011-02-08,20.418367,29.36,26.534218,13.94976
2011-02-09,20.306122,29.36,26.69978,13.96978
2011-02-10,20.387754,29.33,26.732891,13.9998
2011-02-11,20.285715,29.37,26.821192,14.07986
2011-02-14,20.479591,29.37,26.997791,14.12989
2011-02-15,20.469387,29.3,26.633553,14.1499
2011-02-16,20.734694,29.27,26.876381,14.34004
2011-02-17,20.846939,29.3,27.019867,14.46012
2011-02-18,20.836735,29.3,26.821192,14.54018
2011-02-22,20.602041,29.46,26.004414,14.36005
2011-02-23,20.591837,29.43,25.618101,14.23997
2011-02-24,20.459183,29.5,25.629139,14.09987
2011-02-25,20.724489,29.55,25.894039,14.31002
2011-02-28,20.887754,29.5,26.147903,14.49014
2011-03-01,20.785715,29.51,25.485651,14.41009
2011-03-02,20.857143,29.47,25.518764,14.44011
2011-03-03,21,29.4,26.059603,14.4301
2011-03-04,21.020409,29.47,25.794703,14.38007
2011-03-07,20.806122,29.42,25.452538,14.25998
2011-03-08,20.693878,29.34,25.463575,14.39007
2011-03-09,20.489796,29.44,25.055189,14.28
